year,date,median,low,high
2019,2020-08-03,7,0,25.89155225334365
2019,2020-08-14,7,0,22.753431733719964
2019,2020-09-23,7,0,23.82092332870848
2019,2020-11-15,8,0,25.79133810277978
2020,2020-06-25,3,0,10.068736389024593
2020,2020-09-15,3,0,9.62598188685731
2019,2020-01-20,5,0,19.373047255518188
2019,2020-05-21,7,0,22.906862071545596
2020,2020-03-13,6,0,17.647326202243747
2020,2020-05-19,2,0,7.346856258090592
2020,2020-10-26,3,0,9.086918539150552
2019,2020-01-12,7,0,22.136661413518404
2020,2020-11-14,3,0,9.55081968063833
2019,2020-02-05,7,0,33.616243636643865
2019,2020-04-14,7,0,21.802996190093676
2019,2020-08-24,6,0,20.289858380898668
2019,2020-10-03,7,0,38.73774586999713
2019,2020-10-06,5,0,40.518656967721135
2020,2020-02-28,8,0,24.049759131912946
2020,2020-08-15,3,0,10.108831333124936
2020,2020-10-10,3,0,11.058216362306627
2019,2020-01-24,7,0,23.95713978226104
2019,2020-12-06,8,0,25.159618833660343
2019,2020-04-06,8,0,24.554147161243268
2019,2020-01-07,10,0,40.77814150126029
2019,2020-01-16,7,0,25.98421916396635
2019,2020-05-30,8,0,26.630836956674496
2019,2020-12-24,6,0,18.971261956791636
2020,2020-03-08,5,0,16.25589515517193
2019,2020-06-07,9,0,26.488962511875336
2020,2020-09-05,3,0,10.802522878753017
2020,2020-11-19,3,0,8.922440350257443
2020,2020-07-15,3,0,9.993122945446913
2019,2020-02-18,6,0,20.178108673458006
2019,2020-08-29,7,0,22.776337579931532
2019,2020-09-06,9,0,26.849492929682906
2019,2020-11-24,5,0,17.095922227112116
2020,2020-01-12,6,0,23.335717840613107
2020,2020-03-27,2,0,7.025532741181762
2020,2020-05-20,2,0,7.228548705368783
2019,2020-05-06,8,0,25.726989829652574
2020,2020-07-18,2,0,9.126413847931811
2020,2020-08-22,3,0,10.463578092129751
2020,2020-10-16,3,0,9.311807190932031
2019,2020-01-11,8,0,25.43656251246441
2019,2020-03-13,7,0,23.541558118959525
2019,2020-04-12,9,0,26.711547619156146
2019,2020-12-23,7,0,23.321953488711486
2019,2020-09-14,9,0,25.759168165537282
2019,2020-09-24,7,0,24.168361830697297
2019,2020-10-28,6,0,21.021513466977822
2020,2020-11-13,3,0,9.626340962469616
2019,2020-03-24,6,0,20.83797769616435
2019,2020-05-14,8,0,25.280618188995692
2019,2020-06-22,7,0,24.84523059872585
2020,2020-02-17,6,0,18.244937726429864
2020,2020-04-18,1,0,5.1692216470603265
2020,2020-05-25,1,0,5.97154667099498
2020,2020-11-04,3,0,9.190923028755652
2019,2020-05-02,8,0,25.64354349781826
2019,2020-05-31,9,0,28.54246548403603
2019,2020-07-17,7,0,23.56086043112506
2020,2020-06-09,2,0,8.303069866758463
2019,2020-04-15,8,0,25.66728967653991
